CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,RB,Eddie Battle (31249684),Eddie Battle,31249684,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0.2
,,,,,,,RB,Demetric Stephens (31249685),Demetric Stephens,31249685,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Goldie Lawrence (31249686),Goldie Lawrence,31249686,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Brian Green Jr. (31249687),Brian Green Jr.,31249687,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Jonathan Odom (31249688),Jonathan Odom,31249688,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,4.12
,,,,,,,WR,Alex Gonzalez (31249689),Alex Gonzalez,31249689,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Zak Sedaros (31249690),Zak Sedaros,31249690,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Andrew Savaiinaea (31249691),Andrew Savaiinaea,31249691,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Xavier Johnson (31249692),Xavier Johnson,31249692,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Dante Zanders (31249693),Dante Zanders,31249693,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0.9
,,,,,,,WR,Carson Pielock (31249694),Carson Pielock,31249694,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,RB,Carlson Joseph (31249695),Carlson Joseph,31249695,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,1.5
,,,,,,,RB,Cam Carroll (31249696),Cam Carroll,31249696,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Brian Courtney (31249697),Brian Courtney,31249697,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,1
,,,,,,,WR,Jackson Wade (31249698),Jackson Wade,31249698,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Joshua Burrell (31249699),Joshua Burrell,31249699,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Vance Nicklaus (31249700),Vance Nicklaus,31249700,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Scott Isacks (31249701),Scott Isacks,31249701,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Jaden Edgecombe (31249702),Jaden Edgecombe,31249702,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Solomon Lowery Jr. (31249703),Solomon Lowery Jr.,31249703,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,RB,CJ Campbell Jr. (31249704),CJ Campbell Jr.,31249704,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,2.95
,,,,,,,RB,Samuel Singleton Jr. (31249705),Samuel Singleton Jr.,31249705,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,5.2
,,,,,,,WR,Tony Livingston (31249706),Tony Livingston,31249706,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,1.4
,,,,,,,RB,Ja'Kobi Jackson (31249707),Ja'Kobi Jackson,31249707,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
